TimeStamps,Elapsed Time,alpha,beta,delta,theta,gamma,eeg,attention,meditation,
2024-08-03 09:10:35.504,00:00:00.000,0.019367324615074018,0.050396713971617,0.10972516713708323,0.04591045868999088,0.05200602923256392,2.8550627;-0.462087;-5.967088;-10.946588;-11.503685;-5.2495933;6.2187886;13.687413;10.03464;7.0384216;12.915857;14.902978;9.926728;8.086068;9.618633;10.142141;8.159107;3.001043;-3.143058;-5.058167;-0.7003594;4.4138613;1.857935;-6.729258;-10.399377;-8.732986;-8.366891;-10.965822;-16.189934;-19.258045;-17.252237;-14.263162;-8.596437;3.1617877;15.139344;19.904453;15.912973;8.342649;3.696068;1.9815708;0.4599703;2.0744581;4.2752542;-1.2805309;-9.73822;-12.671545;-12.587802;-14.074488;-13.361821;-7.673462,,,
2024-08-03 09:10:35.653,00:00:00.149,,,,,,-2.2014394;1.7080835;9.546117;19.409176;19.476572;8.123785;-2.1110194;-5.0226955;-8.140459;-13.62979;-12.9532995;-5.658423;2.896868;15.833168;31.261635;34.32061;19.706682;0.4717061;-7.580029;-0.53557503;9.139578;9.998475;8.492628;10.877646;13.091411;10.947142;2.403527;-10.01996;-16.717237;-10.855187;-1.7710795;2.3454585;6.329344;7.566946;-1.2121133;-13.823673;-19.42078;-18.338211;-15.428779;-10.390107;-3.8892636;3.0021775;13.5686655;23.77335;23.306828;14.960195;10.917129;10.55886;3.266249;-9.03974,,,
2024-08-03 09:10:35.654,00:00:00.149,0.02015841839851466,0.051967459328522786,0.10501735688212885,0.047194544195767955,0.05205390645654438,,,,
2024-08-03 09:10:35.864,00:00:00.359,,,,,,-16.678047;-21.022013;-25.586802;-25.568624;-19.351933;-8.9863205;3.3265696;10.528862;12.37185;15.891924;19.15921;14.920278;0.038109124;-15.694262;-16.9739;-7.0186977;2.6766078;6.817361;-0.31594694;-15.397633;-23.044596;-19.604063;-14.854527;-13.037796;-12.927375;-13.500801;-14.693903;-14.2804165;-11.452213;-10.68532;-13.247466;-14.09296;-7.0585527;4.8041196;14.605794;21.206266;21.499962;15.766146;9.365564;-0.20116225;-14.988783;-22.475712;-12.03722;4.251944;9.521774;5.6815825;3.3858092;5.8142977;8.834888;10.387076,,,
2024-08-03 09:10:35.866,00:00:00.361,,,,,,,53.46419143676758,,
2024-08-03 09:10:35.868,00:00:00.363,0.018098070609168723,0.051891897911716695,0.10330238034493745,0.046090787757323726,0.049544251792943646,,,10.37974739074707,
2024-08-03 09:10:36.104,00:00:00.600,0.022603107930382914,0.05514119497511549,0.10681154283018704,0.04999539137243093,0.049639148437476945,10.616012;7.5581765;3.1646473;0.63792235;-2.4214425;-6.9877505;-7.2229958;-0.51931465;5.5258384;2.6925251;-9.739126;-22.825409;-24.768108;-17.158903;-9.421453;-1.6029017;7.829936;10.988622;5.0150585;0.774357;3.0593228;2.5152583;0.45786014;9.802436;22.418154;23.642609;22.391577;25.712364;25.643526;25.70441;36.415474;55.378796;73.75121;86.6292;95.37082;102.3046;104.25223;99.63854;96.80804;102.6324;111.535545;106.489136;77.0179;41.85027;24.23343;18.310604;11.341667;6.917477;9.043785;13.252765,,,
2024-08-03 09:10:36.253,00:00:00.749,0.023458137364213285,0.05325591955539178,0.0985319048822784,0.050521494589098145,0.05032537790534577,17.756414;20.560192;11.846048;-4.072288;-13.032744;-17.835321;-23.18635;-27.67776;-28.13725;-20.90574;-15.64526;-19.63304;-21.50106;-17.397564;-19.54333;-30.838268;-37.72493;-34.375805;-28.070791;-26.193325;-31.02547;-37.584164;-44.06477;-52.14676;-56.611973;-56.301914;-59.057186;-59.934864;-50.55069;-43.838364;-49.44942;-59.312332;-67.60077;-72.27389;-66.97697;-47.70373;-28.340899;-25.247587;-32.500904;-36.092148;-31.13974;-21.571432;-13.943074;-13.380339;-19.88973;-25.95575;-24.65199;-19.037413;-12.78928;-3.41386,,,
2024-08-03 09:10:36.464,00:00:00.959,0.020598874657504988,0.054109695185694,0.0874287180750974,0.049702595168314545,0.050919569669516586,0.93596524;-4.5729847;-4.8986034;-0.2283093;-6.3269725;-13.854239;-8.040371;0.41091353;2.8468497;5.333937;11.287232;21.911953;34.289062;39.921394;35.87477;24.684885;15.059584;14.452455;15.598723;9.923656;1.5872449;-1.012733;3.0259402;6.7540197;7.55394;6.4986253;1.5642009;-5.581893;-13.166468;-17.79192;-16.50539;-13.2741995;-8.048398;-1.920689;0.4001379;-1.4462901;-5.9488654;-9.799276;-10.937026;-10.698564;-8.56854;-3.0488844;4.2910886;7.008758;-2.0739536;-17.10385;-26.112078;-27.107704;-20.534956;-6.4481163,,,
2024-08-03 09:10:36.689,00:00:01.185,,,,,,9.613234;14.807572;2.1258647;-14.419994;-20.670366;-15.226459;-2.8181102;7.262743;10.923313;12.147852;15.352732;23.898695;37.870544;45.956043;36.67817;16.911964;2.6025553;-0.16874282;7.1178894;17.816593;18.395426;10.901702;10.673268;16.466393;18.178982;12.62612;3.8335228;1.5973687;5.554422;7.340306;7.9879365;7.199454;1.5134369;-3.7322037;-1.8070167;5.349427;8.411849;0.7381215;-13.763272;-29.34597;-41.086018;-39.742847;-25.468891;-5.891046;16.54132;31.14945;26.592495;14.484268;10.245832;15.023032,,,
